XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.96596410,40.68317813,3,182,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,399,Lafayette Ave & St James Pl,40.688515,-73.964763,19610,Subscriber,1969,1
-73.96834101,40.70827295,48,215,NULL,NULL,282,Kent Ave & S 11 St,40.708273,-73.968341,389,Broadway & Berry St,40.710446,-73.965251,17034,Subscriber,1981,2
-73.96023854,40.68900443,61,598,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,437,Macon St & Nostrand Ave,40.680983,-73.950048,18029,Subscriber,1988,1
-73.96023854,40.68900443,62,583,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,437,Macon St & Nostrand Ave,40.680983,-73.950048,16751,Subscriber,1988,2
-73.98912867,40.68926942,174,375,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,406,Hicks St & Montague St,40.695128,-73.995951,15471,Subscriber,1952,2
-73.98912867,40.68926942,178,356,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,406,Hicks St & Montague St,40.695128,-73.995951,21267,Subscriber,1941,1
-73.98963911,40.69246277,215,314,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,406,Hicks St & Montague St,40.695128,-73.995951,18326,Subscriber,1982,1
-73.96596410,40.68317813,236,345,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,353,S Portland Ave & Hanson Pl,40.685396,-73.974315,15289,Subscriber,1986,2
-73.96023854,40.68900443,248,1136,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,275,Washington Ave & Greene Ave,40.686501,-73.965633,17133,Subscriber,1989,1
-73.98912867,40.68926942,278,629,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,416,Cumberland St & Lafayette Ave,40.687534,-73.972652,19408,Subscriber,1972,2
-73.98963911,40.69246277,317,307,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,261,Johnson St & Gold St,40.694749,-73.983625,21000,Subscriber,1979,2
-73.97632328,40.68382604,321,320,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,384,Fulton St & Waverly Ave,40.683178,-73.965964,21644,Subscriber,1979,2
-73.96476280,40.68851534,352,141,NULL,NULL,399,Lafayette Ave & St James Pl,40.688515,-73.964763,244,Willoughby Ave & Hall St,40.691960,-73.965369,19953,Subscriber,1981,1
-73.98912867,40.68926942,375,263,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,157,Henry St & Atlantic Ave,40.690893,-73.996123,19460,Subscriber,1965,1
-73.98912867,40.68926942,376,237,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,157,Henry St & Atlantic Ave,40.690893,-73.996123,17945,Subscriber,1997,1
-73.96023854,40.68900443,401,293,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,396,Lefferts Pl & Franklin Ave,40.680342,-73.955769,21491,Subscriber,1988,1
-73.96023854,40.68900443,402,290,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,396,Lefferts Pl & Franklin Ave,40.680342,-73.955769,20847,Subscriber,1989,1
-73.96834101,40.70827295,408,253,NULL,NULL,282,Kent Ave & S 11 St,40.708273,-73.968341,282,Kent Ave & S 11 St,40.708273,-73.968341,15577,Subscriber,1979,1
-73.96087600,40.71045100,411,1199,NULL,NULL,532,S 5 Pl & S 4 St,40.710451,-73.960876,432,E 7 St & Avenue A,40.726218,-73.983799,19966,Subscriber,1989,1
-73.95381995,40.69331716,504,369,NULL,NULL,373,Willoughby Ave & Walworth St,40.693317,-73.953820,437,Macon St & Nostrand Ave,40.680983,-73.950048,18416,Subscriber,1989,1
-73.96834101,40.70827295,640,1169,NULL,NULL,282,Kent Ave & S 11 St,40.708273,-73.968341,361,Allen St & Hester St,40.716059,-73.991908,15577,Subscriber,1953,1
-73.97703874,40.69327018,686,363,NULL,NULL,245,Myrtle Ave & St Edwards St,40.693270,-73.977039,416,Cumberland St & Lafayette Ave,40.687534,-73.972652,18604,Subscriber,1962,2
-73.98912867,40.68926942,717,825,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,387,Centre St & Chambers St,40.712733,-74.004607,19473,Subscriber,1973,1
-73.96834101,40.70827295,738,536,NULL,NULL,282,Kent Ave & S 11 St,40.708273,-73.968341,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,19609,Subscriber,1958,2
-73.96834101,40.70827295,739,470,NULL,NULL,282,Kent Ave & S 11 St,40.708273,-73.968341,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,17451,Subscriber,1950,1
-73.97372989,40.69178232,820,279,NULL,NULL,262,Washington Park,40.691782,-73.973730,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,18296,Subscriber,1986,1
-73.97372989,40.69178232,822,270,NULL,NULL,262,Washington Park,40.691782,-73.973730,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,17354,Subscriber,1978,2
-73.96024116,40.71534825,868,10518,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,309,Murray St & West St,40.714979,-74.013012,18293,Customer,0,0
-73.96024116,40.71534825,872,10510,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,309,Murray St & West St,40.714979,-74.013012,19609,Customer,0,0
-73.96596410,40.68317813,906,471,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,313,Washington Ave & Park Ave,40.696102,-73.967510,21644,Subscriber,1993,1
-73.99548059,40.70037867,936,367,NULL,NULL,216,Columbia Heights & Cranberry St,40.700379,-73.995481,157,Henry St & Atlantic Ave,40.690893,-73.996123,15768,Subscriber,1962,1
-73.97632328,40.68382604,1144,415,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,258,DeKalb Ave & Vanderbilt Ave,40.689407,-73.968855,16170,Subscriber,1970,1
-73.98068914,40.69839895,1161,900,NULL,NULL,144,Nassau St & Navy St,40.698399,-73.980689,412,Forsyth St & Canal St,40.715815,-73.994224,15861,Subscriber,1955,1
-73.97632328,40.68382604,1202,489,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,245,Myrtle Ave & St Edwards St,40.693270,-73.977039,21045,Subscriber,1962,2
-73.98912867,40.68926942,1220,370,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,430,York St & Jay St,40.701485,-73.986569,14653,Subscriber,1979,1
-73.96023854,40.68900443,1301,211,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,20702,Subscriber,1975,1
